Symbol,Lot Size,Entry Time,Exit Time (5D),Days Held (5D),Exit Reason (5D),Exit Time (2D),Days Held (2D),Exit Reason (2D),Long Equity (5D) PnL (₹),Long Equity (5D) Return (%),Long Equity (2D) PnL (₹),Long Equity (2D) Return (%),Short Equity (5D) PnL (₹),Short Equity (5D) Return (%),Short Equity (2D) PnL (₹),Short Equity (2D) Return (%),Options: Naked Call Buy (5D) PnL (₹),Options: Naked Call Buy (5D) Return (%),Options: Naked Call Buy (2D) PnL (₹),Options: Naked Call Buy (2D) Return (%),Options: Naked Put Buy (5D) PnL (₹),Options: Naked Put Buy (5D) Return (%),Options: Naked Put Buy (2D) PnL (₹),Options: Naked Put Buy (2D) Return (%),Options: Long Straddle (5D) PnL (₹),Options: Long Straddle (5D) Return (%),Options: Long Straddle (2D) PnL (₹),Options: Long Straddle (2D) Return (%),Options: Bull Put Spread (ATM & OTM1) (5D) PnL (₹),Options: Bull Put Spread (ATM & OTM1) (5D) Return (%),Options: Bull Put Spread (ATM & OTM1) (2D) PnL (₹),Options: Bull Put Spread (ATM & OTM1) (2D) Return (%),Options: Bull Put Spread (ATM & OTM2) (5D) PnL (₹),Options: Bull Put Spread (ATM & OTM2) (5D) Return (%),Options: Bull Put Spread (ATM & OTM2) (2D) PnL (₹),Options: Bull Put Spread (ATM & OTM2) (2D) Return (%),Options: Bear Call Spread (ATM & OTM1) (5D) PnL (₹),Options: Bear Call Spread (ATM & OTM1) (5D) Return (%),Options: Bear Call Spread (ATM & OTM1) (2D) PnL (₹),Options: Bear Call Spread (ATM & OTM1) (2D) Return (%),Options: Bear Call Spread (ATM & OTM2) (5D) PnL (₹),Options: Bear Call Spread (ATM & OTM2) (5D) Return (%),Options: Bear Call Spread (ATM & OTM2) (2D) PnL (₹),Options: Bear Call Spread (ATM & OTM2) (2D) Return (%)
ADANIGREEN,600,2026-07-01 11:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),-21780.0,-2.33,2820.0,0.3,21780.0,2.33,-2820.0,-0.3,-7740.0,-0.83,7170.0,0.77,15690.0,1.68,0.0,0.0,7950.0,0.85,7170.0,0.77,-12210.0,-1.31,-7380.0,-0.79,-9900.0,-1.06,-6330.0,-0.68,960.0,0.1,-480.0,-0.05,1650.0,0.18,-2250.0,-0.24
ADANIENSOL,675,2026-07-01 11:15:00,2026-07-01 11:53:00,1,SL Hit (-3.0%),2026-07-01 11:53:00,1,SL Hit (-3.0%),-30172.5,-2.87,-30172.5,-2.87,30172.5,2.87,30172.5,2.87,-2463.75,-0.23,-2463.75,-0.23,0.0,0.0,0.0,0.0,-2463.75,-0.23,-2463.75,-0.23,1417.5,0.13,1417.5,0.13,1822.5,0.17,1822.5,0.17,236.25,0.02,236.25,0.02,270.0,0.03,270.0,0.03
IDEA,71475,2026-07-01 11:15:00,2026-07-07 09:15:00,5,SL Hit (-3.0%),2026-07-03 09:15:00,3,Time Exit (2 Days),-34308.0,-3.31,1429.5,0.14,34308.0,3.31,-1429.5,-0.14,-30019.5,-2.9,-5718.0,-0.55,10006.5,0.97,714.75,0.07,-20013.0,-1.93,-5003.25,-0.48,-8577.0,-0.83,-1429.5,-0.14,-10721.25,-1.04,-1429.5,-0.14,13580.25,1.31,3573.75,0.35,20727.75,2.0,3573.75,0.35
CDSL,475,2026-07-01 11:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),-1805.0,-0.28,3372.5,0.53,1805.0,0.28,-3372.5,-0.53,-855.0,-0.13,2256.25,0.35,-8787.5,-1.37,-3752.5,-0.58,-9642.5,-1.5,-1496.25,-0.23,2018.75,0.31,332.5,0.05,2992.5,0.47,285.0,0.04,-1187.5,-0.19,-403.75,-0.06,-1900.0,-0.3,-878.75,-0.14
MAZDOCK,225,2026-07-01 12:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),-12015.0,-2.09,2250.0,0.39,12015.0,2.09,-2250.0,-0.39,-5985.0,-1.04,3240.0,0.56,2160.0,0.38,-2137.5,-0.37,-3825.0,-0.67,1102.5,0.19,-2610.0,-0.45,-1890.0,-0.33,-1518.75,-0.26,-2576.25,-0.45,1698.75,0.3,4207.5,0.73,5985.0,1.04,-3240.0,-0.56
RECLTD,1575,2026-07-01 12:15:00,2026-07-07 09:44:00,5,SL Hit (-3.0%),2026-07-03 09:15:00,3,Time Exit (2 Days),-17325.0,-2.98,3780.0,0.65,17325.0,2.98,-3780.0,-0.65,-10395.0,-1.79,-3386.25,-0.58,10473.75,1.8,945.0,0.16,78.75,0.01,-2441.25,-0.42,-1811.25,-0.31,-1653.75,-0.28,-3622.5,-0.62,-945.0,-0.16,1653.75,0.28,236.25,0.04,3543.75,0.61,1890.0,0.32
PGEL,950,2026-07-01 12:15:00,2026-07-01 12:16:00,1,SL Hit (-3.0%),2026-07-01 12:16:00,1,SL Hit (-3.0%),-16197.5,-3.04,-16197.5,-3.04,16197.5,3.04,16197.5,3.04,-47.5,-0.01,-47.5,-0.01,617.5,0.12,617.5,0.12,570.0,0.11,570.0,0.11,-95.0,-0.02,-95.0,-0.02,-95.0,-0.02,-95.0,-0.02,-95.0,-0.02,-95.0,-0.02,47.5,0.01,47.5,0.01
AUBANK,1000,2026-07-01 12:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),3000.0,0.28,7900.0,0.75,-3000.0,-0.28,-7900.0,-0.75,1800.0,0.17,6450.0,0.61,-11550.0,-1.09,-13800.0,-1.31,-9750.0,-0.92,-7350.0,-0.7,-2900.0,-0.27,2600.0,0.25,1900.0,0.18,7900.0,0.75,4350.0,0.41,-450.0,-0.04,-2550.0,-0.24,2850.0,0.27
ASHOKLEY,5000,2026-07-01 12:15:00,2026-07-01 12:17:00,1,SL Hit (-3.0%),2026-07-01 12:17:00,1,SL Hit (-3.0%),-23950.0,-2.91,-23950.0,-2.91,23950.0,2.91,23950.0,2.91,100.0,0.01,100.0,0.01,-1500.0,-0.18,-1500.0,-0.18,-1400.0,-0.17,-1400.0,-0.17,800.0,0.1,800.0,0.1,750.0,0.09,750.0,0.09,0.0,0.0,0.0,0.0,-250.0,-0.03,-250.0,-0.03
CGPOWER,850,2026-07-01 13:15:00,2026-07-03 09:15:00,3,SL Hit on Gap-Down,2026-07-03 09:15:00,3,SL Hit on Gap-Down,-40800.0,-5.0,-40800.0,-5.0,40800.0,5.0,40800.0,5.0,-18487.5,-2.27,-18487.5,-2.27,34552.5,4.24,34552.5,4.24,16065.0,1.97,16065.0,1.97,-8542.5,-1.05,-8542.5,-1.05,-6970.0,-0.85,-6970.0,-0.85,8627.5,1.06,8627.5,1.06,10370.0,1.27,10370.0,1.27
BOSCHLTD,25,2026-07-01 14:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),12125.0,1.17,-2875.0,-0.28,-12125.0,-1.17,2875.0,0.28,8421.25,0.81,9787.5,0.94,-21435.0,-2.07,-17435.0,-1.68,-13013.75,-1.25,-7647.5,-0.74,6756.25,0.65,9120.0,0.88,2695.0,0.26,3288.75,0.32,-2371.25,-0.23,-1600.0,-0.15,-4821.25,-0.46,-1658.75,-0.16
SBIN,750,2026-07-01 14:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),2026-07-03 09:15:00,3,Time Exit (2 Days),-16500.0,-2.09,2550.0,0.32,16500.0,2.09,-2550.0,-0.32,-7162.5,-0.91,1875.0,0.24,5362.5,0.68,-3037.5,-0.39,-1800.0,-0.23,-1162.5,-0.15,-2850.0,-0.36,2062.5,0.26,-1837.5,-0.23,2362.5,0.3,1312.5,0.17,487.5,0.06,3037.5,0.39,75.0,0.01
MOTILALOFS,775,2026-07-02 09:15:00,2026-07-08 13:54:00,5,SL Hit (-3.0%),2026-07-06 09:15:00,3,Time Exit (2 Days),-22242.5,-3.0,10152.5,1.37,22242.5,3.0,-10152.5,-1.37,-11237.5,-1.52,5928.75,0.8,5386.25,0.73,-3177.5,-0.43,-5851.25,-0.79,2751.25,0.37,4688.75,0.63,-1162.5,-0.16,5115.0,0.69,2247.5,0.3,-3720.0,-0.5,-5463.75,-0.74,-9222.5,-1.24,-11121.25,-1.5
SRF,200,2026-07-02 09:15:00,2026-07-08 14:25:00,5,SL Hit (-3.0%),2026-07-06 09:15:00,3,Time Exit (2 Days),-16740.0,-2.99,720.0,0.13,16740.0,2.99,-720.0,-0.13,-3400.0,-0.61,4970.0,0.89,3600.0,0.64,-7160.0,-1.28,200.0,0.04,-2190.0,-0.39,2350.0,0.42,3830.0,0.68,2740.0,0.49,4430.0,0.79,-2840.0,-0.51,-2820.0,-0.5,-1710.0,-0.31,-2950.0,-0.53
BAJAJHLDNG,75,2026-07-02 09:15:00,2026-07-08 12:08:00,5,SL Hit (-3.0%),2026-07-06 09:15:00,3,Time Exit (2 Days),-23850.0,-2.93,18975.0,2.33,23850.0,2.93,-18975.0,-2.33,-4545.0,-0.56,0.0,0.0,11370.0,1.4,1503.75,0.18,6825.0,0.84,1503.75,0.18,581.25,0.07,-1503.75,-0.18,-11370.0,-1.4,-1503.75,-0.18,-4747.5,-0.58,11475.0,1.41,-19042.5,-2.34,-8688.75,-1.07
TVSMOTOR,175,2026-07-02 09:15:00,2026-07-09 09:15:00,6,Time Exit (5 Days),2026-07-06 09:15:00,3,Time Exit (2 Days),5285.0,0.83,105.0,0.02,-5285.0,-0.83,-105.0,-0.02,1277.5,0.2,-43.75,-0.01,-4471.25,-0.7,-1828.75,-0.29,-3193.75,-0.5,-1872.5,-0.3,-2170.0,-0.34,-2800.0,-0.44,-2257.5,-0.36,-2992.5,-0.47,-743.75,-0.12,315.0,0.05,805.0,0.13,1006.25,0.16
