Symbol,Lot Size,Entry Time,Exit Time,Days Held,Exit Reason,Long Equity PnL (₹),Long Equity Return (%),Short Equity PnL (₹),Short Equity Return (%),Options: Naked Call Buy PnL (₹),Options: Naked Call Buy Return (%),Options: Naked Put Buy PnL (₹),Options: Naked Put Buy Return (%),Options: Long Straddle PnL (₹),Options: Long Straddle Return (%),Options: Bull Put Spread (ATM & OTM1) PnL (₹),Options: Bull Put Spread (ATM & OTM1) Return (%),Options: Bull Put Spread (ATM & OTM2) PnL (₹),Options: Bull Put Spread (ATM & OTM2) Return (%),Options: Bear Call Spread (ATM & OTM1) PnL (₹),Options: Bear Call Spread (ATM & OTM1) Return (%),Options: Bear Call Spread (ATM & OTM2) PnL (₹),Options: Bear Call Spread (ATM & OTM2) Return (%)
HAL,150,2026-07-01 10:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-7710.0,-1.16,7710.0,1.16,-6052.5,-0.91,-1395.0,-0.21,-7447.5,-1.12,22.5,0.0,-120.0,-0.02,1860.0,0.28,1980.0,0.3
ADANIGREEN,600,2026-07-01 11:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-21780.0,-2.33,21780.0,2.33,-7740.0,-0.83,15690.0,1.68,7950.0,0.85,-12210.0,-1.31,-9900.0,-1.06,960.0,0.1,1650.0,0.18
ADANIENSOL,675,2026-07-01 11:15:00,2026-07-01 11:53:00,1,SL Hit (-3.0%),-30172.5,-2.87,30172.5,2.87,-2463.75,-0.23,0.0,0.0,-2463.75,-0.23,1417.5,0.13,1822.5,0.17,236.25,0.02,270.0,0.03
IDEA,71475,2026-07-01 11:15:00,2026-07-07 09:15:00,5,SL Hit (-3.0%),-34308.0,-3.31,34308.0,3.31,-30019.5,-2.9,10006.5,0.97,-20013.0,-1.93,-8577.0,-0.83,-10721.25,-1.04,13580.25,1.31,20727.75,2.0
CDSL,475,2026-07-01 11:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-1805.0,-0.28,1805.0,0.28,-855.0,-0.13,-8787.5,-1.37,-9642.5,-1.5,2018.75,0.31,2992.5,0.47,-1187.5,-0.19,-1900.0,-0.3
MAZDOCK,225,2026-07-01 12:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-12015.0,-2.09,12015.0,2.09,-5985.0,-1.04,2160.0,0.38,-3825.0,-0.67,-2610.0,-0.45,-1518.75,-0.26,1698.75,0.3,5985.0,1.04
RECLTD,1575,2026-07-01 12:15:00,2026-07-07 09:44:00,5,SL Hit (-3.0%),-17325.0,-2.98,17325.0,2.98,-10395.0,-1.79,10473.75,1.8,78.75,0.01,-1811.25,-0.31,-3622.5,-0.62,1653.75,0.28,3543.75,0.61
PGEL,950,2026-07-01 12:15:00,2026-07-01 12:16:00,1,SL Hit (-3.0%),-16197.5,-3.04,16197.5,3.04,-47.5,-0.01,617.5,0.12,570.0,0.11,-95.0,-0.02,-95.0,-0.02,-95.0,-0.02,47.5,0.01
AUBANK,1000,2026-07-01 12:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),3000.0,0.28,-3000.0,-0.28,1800.0,0.17,-11550.0,-1.09,-9750.0,-0.92,-2900.0,-0.27,1900.0,0.18,4350.0,0.41,-2550.0,-0.24
ASHOKLEY,5000,2026-07-01 12:15:00,2026-07-01 12:17:00,1,SL Hit (-3.0%),-23950.0,-2.91,23950.0,2.91,100.0,0.01,-1500.0,-0.18,-1400.0,-0.17,800.0,0.1,750.0,0.09,0.0,0.0,-250.0,-0.03
CGPOWER,850,2026-07-01 13:15:00,2026-07-03 09:15:00,3,SL Hit on Gap-Down,-40800.0,-5.0,40800.0,5.0,-18487.5,-2.27,34552.5,4.24,16065.0,1.97,-8542.5,-1.05,-6970.0,-0.85,8627.5,1.06,10370.0,1.27
BOSCHLTD,25,2026-07-01 14:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),12125.0,1.17,-12125.0,-1.17,8421.25,0.81,-21435.0,-2.07,-13013.75,-1.25,6756.25,0.65,2695.0,0.26,-2371.25,-0.23,-4821.25,-0.46
SBIN,750,2026-07-01 14:15:00,2026-07-08 09:15:00,6,Time Exit (5 Days),-16500.0,-2.09,16500.0,2.09,-7162.5,-0.91,5362.5,0.68,-1800.0,-0.23,-2850.0,-0.36,-1837.5,-0.23,1312.5,0.17,3037.5,0.39
MOTILALOFS,775,2026-07-02 09:15:00,2026-07-08 13:54:00,5,SL Hit (-3.0%),-22242.5,-3.0,22242.5,3.0,-11237.5,-1.52,5386.25,0.73,-5851.25,-0.79,4688.75,0.63,5115.0,0.69,-3720.0,-0.5,-9222.5,-1.24
SRF,200,2026-07-02 09:15:00,2026-07-08 14:25:00,5,SL Hit (-3.0%),-16740.0,-2.99,16740.0,2.99,-3400.0,-0.61,3600.0,0.64,200.0,0.04,2350.0,0.42,2740.0,0.49,-2840.0,-0.51,-1710.0,-0.31
BAJAJHLDNG,75,2026-07-02 09:15:00,2026-07-08 12:08:00,5,SL Hit (-3.0%),-23850.0,-2.93,23850.0,2.93,-4545.0,-0.56,11370.0,1.4,6825.0,0.84,581.25,0.07,-11370.0,-1.4,-4747.5,-0.58,-19042.5,-2.34
TVSMOTOR,175,2026-07-02 09:15:00,2026-07-09 09:15:00,6,Time Exit (5 Days),5285.0,0.83,-5285.0,-0.83,1277.5,0.2,-4471.25,-0.7,-3193.75,-0.5,-2170.0,-0.34,-2257.5,-0.36,-743.75,-0.12,805.0,0.13
